id,long,lat,ATM
1,109.3086986,-0.018308802,ATM Bank Kalbar
2,109.3282304,-0.028031254,ATM Bank Kalbar
3,109.3315911,-0.02641607,ATM Bank Mandiri
4,109.3325492,-0.026857487,ATM Bank BRI
5,109.3326295,-0.026777229,ATM Bank BCA
6,109.3338735,-0.028031254,ATM Maybank
7,109.3342948,-0.028402445,ATM Bank Kalbar
8,109.3343951,-0.028312155,ATM Bank BNI
9,109.3361307,-0.029987532,ATM Bank Mandiri
10,109.336211,-0.029897243,ATM Bank Danamon
11,109.3423607,-0.027339032,ATM Bank Kalbar
12,109.3421601,-0.027479483,ATM Bank BRI
13,109.3325091,-0.033940218,ATM Bank BNI
14,109.3420196,-0.027349064,ATM Bank BNI
15,109.3419093,-0.027599869,ATM Bank BCA
16,109.3320677,-0.03404054,ATM Bank Permata Bank
17,109.3356492,-0.030810173,ATM Bank BRI
18,109.3361207,-0.030348692,ATM Bank BRI
19,109.3323887,-0.03404054,ATM Bank Mandiri
20,109.3360304,-0.030428949,ATM Bank Bukopin
21,109.3399279,-0.023155606,ATM Bank BCA
22,109.3397975,-0.022985058,ATM Bank BNI
23,109.3389448,-0.022363062,ATM Bank BRI
24,109.3412622,-0.024710596,ATM Bank Mandiri
25,109.3420848,-0.026024814,ATM Bank Danamon
26,109.3422353,-0.026255555,ATM Bank Mandiri
