Provinsi;Kabupaten/kota;Longitude;Latitude;Kemiskinan;PDRB;Pendidikan;AMH;Pengeluaran Perkapita;Ruta Penerima Raskin;Penduduk 15-64;HLS;Rata-Rata Lama Sekolah
DKI Jakarta;Kepulauan Seribu;106.5072;-5.7985;11.9800;338.8000;5.2900;100.0000;68.8000;55.3400;86.2882;12.4800;8.4600
;Kota Jakarta Selatan;106.8079;-6.2627;2.8300;261.5800;7.9600;100.0000;46.6300;0.0000;86.8031;13.3100;11.5700
;Kota Jakarta Timur;106.8995;-6.2249;3.1400;155.5300;2.9100;100.0000;50.3900;0.0000;86.9343;13.4300;11.6400
;Kota Jakarta Pusat;106.8279;-6.1801;3.5900;692.2400;3.6200;100.0000;50.8700;0.0000;86.2032;13.2300;11.2400
;Kota Jakarta Barat;106.7633;-6.1675;3.3900;168.6800;25.0200;100.0000;53.2900;0.0000;87.4070;12.7800;10.3800
;Kota Jakarta Utara;106.8926;-6.1555;5.3500;271.8500;18.5900;98.9800;51.1200;0.0000;87.3943;12.6100;10.6900
Jawa Barat;Bogor;106.6291;-6.5518;7.1400;37.5987;25.2000;99.2900;58.5700;70.3600;67.0200;12.4400;7.8800
;Sukabumi;106.9536;-6.8649;6.7600;25.0406;25.7800;100.0000;65.6500;68.4600;65.7200;12.2000;6.8000
;Cianjur;107.1957;-7.3580;9.8100;18.9925;33.3400;100.0000;64.0300;78.7600;65.7200;11.9000;6.9300
;Bandung;107.6215;-7.1341;6.6500;30.4741;7.7700;99.5100;57.8300;74.0100;66.8400;12.6400;8.5800
;Garut;107.7636;-7.5012;9.2700;20.3486;21.6400;99.4900;66.9000;83.4100;63.3700;11.8000;7.5000
;Tasikmalaya;108.1429;-7.6513;9.8500;19.3972;16.0100;98.9200;66.2800;70.1500;65.5500;12.4800;7.1300
;Ciamis;108.3493;-7.3321;7.2200;24.5102;25.8900;100.0000;60.5700;73.5300;66.9500;13.6700;7.6000
;Kuningan;108.5701;-7.0138;12.2200;21.1926;22.8700;99.4500;63.9700;76.0800;66.2900;12.0700;7.3600
;Cirebon;108.4751;-6.6899;10.7000;20.8904;32.8400;99.4300;63.0700;93.4800;67.9400;12.2200;6.6200
